pelayanan_id,poli_id,pelayanan_nm,pelayanan_jml
1,1,"PEMERIKSAAN DOKTER
",15012
2,1,"NEBULIZER
",4
3,1,"TTV
",36
4,3,mengukur ttv kelas 1,16628
5,3,mengukur ttv kelas 2,12458
6,3,mengukur ttv kelas 3,62428
7,3,mengukur ttv vip,2291
8,3,"Monitor dan dokumentasi ttv, 922036 Monitor dan dokumentasi ttv (HD), 173035 Monitor dan dokumentasi ttv (IGD) kelas 1",38031
9,3,"Monitor dan dokumentasi ttv, 922036 Monitor dan dokumentasi ttv (HD), 173035 Monitor dan dokumentasi ttv (IGD) kelas 2",26817
10,3,"Monitor dan dokumentasi ttv, 922036 Monitor dan dokumentasi ttv (HD), 173035 Monitor dan dokumentasi ttv (IGD) kelas 3",134619
11,3,"Monitor dan dokumentasi ttv, 922036 Monitor dan dokumentasi ttv (HD), 173035 Monitor dan dokumentasi ttv (IGD) vip",5472
12,3,Pengelolaan therapi oral kelas 1,14064
13,3,Pengelolaan therapi oral kelas 2,9532
14,3,Pengelolaan therapi oral kelas 3,46388
15,3,Pengelolaan therapi oral vip,2158
16,3,Informed consent kelas 1,9128
17,3,Informed consent kelas 2,9348
18,3,Informed consent kelas 3,45385
19,3,Informed consent vip,242
20,3,Ambulasi kelas 1,8843
21,3,Ambulasi kelas 2,7906
22,3,Ambulasi kelas 3,37748
23,3,Ambulasi vip,804
24,3,Mengajarkan distraksi & relaksasi kelas 1,10656
25,3,Mengajarkan distraksi & relaksasi kelas 2,9147
26,3,Mengajarkan distraksi & relaksasi kelas 3,41937
27,3,Mengajarkan distraksi & relaksasi vip,2404
28,3,Mengajarkan nafas dalam dan batuk efektif kelas 1,8309
29,3,Mengajarkan nafas dalam dan batuk efektif kelas 2,9409
30,3,Mengajarkan nafas dalam dan batuk efektif kelas 3,40317
31,3,Mengajarkan nafas dalam dan batuk efektif vip,5446
32,3,Perawatan infus kelas 1,15031
33,3,Perawatan infus kelas 2,9899
34,3,Perawatan infus kelas 3,48547
35,3,Perawatan infus vip,2149
36,3,Perawatan infus umbilical kelas 1,897
37,3,Perawatan infus umbilical kelas 2,1225
38,3,Perawatan infus umbilical kelas 3,3510
39,3,Perawatan infus umbilical vip,1
40,3,Perawatan oksigenKelas 1,3741
41,3,Perawatan oksigenKelas 2,2665
42,3,Perawatan oksigenKelas 3,15218
43,3,Perawatan oksigenvip,838
44,3,Melepas infusKelas 1,4213
45,3,Melepas infusKelas 2,2495
46,3,Melepas infusKelas 3,12367
47,3,Melepas infusvip,665
48,3,Pengelolaan th/ tetesKelas 1,6762
49,3,Pengelolaan th/ tetesKelas 2,2874
50,3,Pengelolaan th/ tetesKelas 3,8830
51,3,Pengelolaan th/ tetesvip,43
52,3,Mengganti linen dengan pasien di TTKelas 1,14866
53,3,Mengganti linen dengan pasien di TTKelas 2,10515
54,3,Mengganti linen dengan pasien di TTKelas 3,52131
55,3,Mengganti linen dengan pasien di TTvip,2009
56,3,Pemberian 02 nasal kanulKelas 1,5274
57,3,Pemberian 02 nasal kanulKelas 2,3426
58,3,Pemberian 02 nasal kanulKelas 3,18653
59,3,Pemberian 02 nasal kanulvip,570
60,3,Pengelolaan TH/IM/IV/IC/SCKelas 1,15252
61,3,Pengelolaan TH/IM/IV/IC/SCKelas 2,10474
62,3,Pengelolaan TH/IM/IV/IC/SCKelas 3,52488
63,3,Pengelolaan TH/IM/IV/IC/SCvip,2136
64,3,Healt educationKelas 1,36474
65,3,Healt educationKelas 2,25832
66,3,Healt educationKelas 3,126929
67,3,Healt educationvip,4876
68,3,Askep spiritualKelas 1,1911
69,3,Askep spiritualKelas 2,1943
70,3,Askep spiritualKelas 3,10212
71,3,Askep spiritualvip,72
72,3,Sampling darahKelas 1,4101
73,3,Sampling darahKelas 2,2767
74,3,Sampling darahKelas 3,14680
75,3,Sampling darahvip,461
76,3,Observasi pasien trauma/colikKelas 1,7854
77,3,Observasi pasien trauma/colikKelas 2,7984
78,3,Observasi pasien trauma/colikKelas 3,39589
79,3,Observasi pasien trauma/colikvip,21
80,3,Pasang infus tanpa penyulitKelas 1,1163
81,3,Pasang infus tanpa penyulitKelas 2,401
82,3,Pasang infus tanpa penyulitKelas 3,1813
83,3,Pasang infus tanpa penyulitvip,230
